Cookie Name,Cookie Consent Category,Description
__Secure-has-sid,1. Required,Detects a user’s login state in LWR Experience on the client side. Set during login to LWR Experience. Never set this cookie to HttpOnly.
{UserId}_spring_KmMlAnyoneDraftArticlesList,1. Required,"In Salesforce Classic, used to configure layout properties for the Draft Articles view in Article Management."
{UserId}_spring_KmMlArchivedArticlesList,1. Required,"In Salesforce Classic, used to configure layout properties for 'Archived Articles' in Article Management."
{UserId}_spring_KmMlMyDraftArticlesList,1. Required,"In Salesforce Classic, used to configure layout properties for 'Draft Articles' assigned to 'Me' in Article Management."
{UserId}_spring_KmMlMyDraftTranslationsList,1. Required,"In Salesforce Classic, used to configure layout properties for 'Draft Translations' in Article Management."
{UserId}_spring_KmMlPublishedArticlesList,1. Required,"In Salesforce Classic, used to configure layout properties for 'Published Articles' in Article Management."
{UserId}_spring_KmMlPublishedTranslationsList,1. Required,"In Salesforce Classic, used to configure layout properties for 'Published Translations' in Article Management."
<namespace>_sid,1. Required,Identifies a Live Agent session. Stores a unique pseudonymous ID for a specific browser session over chat service.
52609e00b7ee307e,1. Required,Browser Fingerprint cookie. Used to detect session security problems.
79eb100099b9a8bf,1. Required,Browser Fingerprint trigger cookie. Used to detect session security problems.
apex__EmailAddress,1. Required,Caches contact IDs associated with email addresses.
BAYEAX_BROWSER,1. Required,Identify a unique browser subscribed to CometD streaming channels.
BrowserId,1. Required,Used for security protections.
BrowserId_sec,1. Required,Used for security protections.
clientSrc,1. Required,Used for security protections.
communityId,1. Required,Cookie set to tie the ideas to a specific Experience Cloud site.
CookieConsent,1. Required,"Used to apply end-user cookie consent preferences. Stores a Boolean for whether user has consented to the cookie policy options offered by the site. Without this cookie, customers would not be able collect consent from their end users."
CookieConsentPolicy,1. Required,Used to apply end-user cookie consent preferences set by our client-side utility.
cookieSettingVerified,1. Required,Used to create a popup message telling users that cookies are required.
cordovaVersion,1. Required,Used for internal diagnostics with mobile applications.
csssid,1. Required,Used to establish a request context in the correct tenant org.
csssid_Client,1. Required,Enables user switching.
devOverrideCsrfToken,1. Required,CSRF Token.
dialpadShown,1. Required,Used in essential Open CTI functionality to determine the dial pad focus.
disco,1. Required,"Tracks the last user login and active session for bypassing login (For example, OAuth immediate flow)."
FedAuth,1. Required,"For the SharePoint connector, used to authenticate to the top-level site in SharePoint."
force-proxy-stream,1. Required,Ensures that client requests hit the same proxy hosts and are more likely to retrieve content from cache.
force-stream,1. Required,Used to redirect server requests for sticky sessions.
gTalkCollapsed,1. Required,Controls whether the sidebar in Salesforce Classic is open or not for a user.
guest_uuid_essential_<15-char SiteID>,1. Required,Provides a unique ID for guest users in Experience Cloud sites. Expires one year after the user’s last visit to the site.
idccsrf,1. Required,Tracks CrossSiteRequestForgery validation for certain SSO flows.
inst,1. Required,"Used to redirect requests to an instance when bookmarks and hardcoded URLs send requests to a different instance. This type of redirect can happen after an org migration, a split, or after any URL update."
language,1. Required,"Identifies the language for custom components, surveys, and flows, which support multiple languages. Without this cookie, translations for custom features can appear incorrectly."
lastActivePage,1. Required,"Used in essential Open CTI functionality, such as determining if CTI should screen pop the current call object."
lastCallObjectId,1. Required,"Used in essential Open CTI functionality, such as determining if CTI should screen pop the current call object."
lastlist,1. Required,Used to store the cookie name for the last list URL.
liveagent_sid,1. Required,Identifies a Live Agent session. Stores a unique pseudonymous ID for a specific browser session over chat service.
lloopch_loid,1. Required,Determines whether to send the user to a specific portal login or an app login.
oid,1. Required,Stores the last logged in org for redirecting requests. Used for logging whether the cookie is present in site and community guest-user requests.
pctrk,1. Required,Used to track unique page visitors in Experiences.
PicassoLanguage,1. Required,Used to store a user’s language selection for this Experience Builder site. The site doesn’t load without this cookie if the user changes the site’s language.
promptTestMod,1. Required,Stores whether test mode is in effect. This cookie is read-only.
renderCtx,1. Required,"Used to store site parameters in the session for reuse across requests by a single client for functionality and performance reasons. Metadata required for fetching site pages and components based on pageId, schema, viewType, brandingSet, formFactor, and audience targeting."
RRetURL,1. Required,Used with 'Log in As' to restore the original state.
RRetURL2,1. Required,The return URL to redirect to when logging out of a session.
RSID,1. Required,"Session ID and login-as session ID. In this case the cookies are copied to the response and cause the target URL to rebuild appropriately in a proxy situation. The cookies aren't created, examined, or modified."
